,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.8737151248164464,0.735632183908046,0.5039370078740157,0.5981308411214953,0.848588646635777
Decision Tree,0.8355359765051396,0.5590551181102362,0.5590551181102362,0.5590551181102362,0.735452969100884
Random Forest,0.882525697503671,0.7901234567901234,0.5039370078740157,0.6153846153846154,0.8660280280849371
Gradient Boosting,0.882525697503671,0.7640449438202247,0.5354330708661418,0.6296296296296297,0.8687853548992296
